Id,Label
0,-5.305459
1,0.2958169
2,14.982121
3,-4.699416
4,-4.349037
5,-2.0704823
6,2.5927155
7,1.6846132
8,-3.5639029
9,26.884827
10,-4.1080656
11,-3.0991507
12,-4.0461836
13,-3.902254
14,-3.6971674
15,-4.753667
16,-1.1979642
17,-3.5538445
18,-5.072172
19,-4.9322186
20,-4.6060915
21,12.707415
22,-4.777563
23,-3.323124
24,-5.550214
25,-4.2378235
26,-5.0496883
27,-2.9124393
28,20.132174
29,-4.921036
30,3.2710195
31,16.507725
32,-0.67157793
33,-1.193531
34,-0.048457146
35,-0.41794825
36,-4.975725
37,-3.6694336
38,-4.674655
39,-3.2243452
40,-1.4042726
41,-4.4885406
42,0.85854626
43,-3.4985504
44,0.44073343
45,-4.873247
46,-1.1583223
47,0.55242157
48,-3.0375185
49,-2.3593292
50,-4.7879467
51,0.665864
52,-5.6481676
53,0.77122974
54,-3.1538897
55,11.664904
56,-2.6322432
57,-4.4121475
58,-2.7894087
59,1.6358795
60,4.1534805
61,-5.2960196
62,-5.450616
63,-0.43953514
64,-4.958233
65,-4.809311
66,-4.25023
67,-4.010399
68,-4.1769705
69,1.4501457
70,8.386095
71,-5.540572
72,-2.2879524
73,-1.353539
74,-5.3545685
75,-5.3713446
76,-5.065379
77,-4.7406416
78,-4.238803
79,-4.515834
80,-5.01915
81,1.5900354
82,-4.2729445
83,-5.0358486
84,-2.5851183
85,-4.3693304
86,-5.277443
87,-4.920988
88,-3.716815
89,-4.676091
90,-4.3698635
91,3.029455
92,37.57274
93,-3.0541449
94,-3.7055483
95,-4.3094215
96,-4.9410944
97,-3.9665623
98,-4.3422194
99,-3.2776346
100,0.7138529
101,-4.219306
102,-2.070527
103,-4.7772675
104,-3.9753647
105,-4.126875
106,20.646652
107,-5.9400606
108,-2.9616537
109,-3.469592
110,21.772675
111,-4.7685194
112,-4.3719254
113,-4.9022274
114,-1.863625
115,19.163471
116,-4.553006
117,-5.0148144
118,-4.994253
119,-2.2622137
120,-2.0176797
121,-4.7607307
122,-3.9904146
123,-3.7745695
124,-1.049716
125,-3.8784351
126,-4.2706423
127,-1.1431885
128,31.633343
129,-5.0080614
130,-2.0366006
131,-4.7269726
132,-4.966462
133,-5.1298084
134,-5.3373394
135,12.590538
136,-3.3013048
137,-4.397111
138,-5.145562
139,9.268632
140,-1.1341338
141,-4.536174
142,-5.6630945
143,-4.6847467
144,-3.081483
145,-4.237644
146,-4.019253
147,-4.627371
148,-3.707634
149,7.82518
150,2.9708254
151,-0.9852772
152,-0.98026466
153,22.334747
154,11.220064
155,-3.396244
156,-4.0964165
157,-5.42581
158,-4.4973173
159,-5.5100183
160,-5.1613836
161,-4.2217636
162,19.611946
163,-2.5048256
164,1.0129433
165,-3.920825
166,-3.1086235
167,-4.3870726
168,2.3027482
169,-2.9956808
170,-5.2183275
171,-0.33734417
172,14.048316
173,-2.7819939
174,-4.5119276
175,-3.8367777
176,2.4147456
177,-4.9652643
178,8.929594
179,-1.3403425
180,-0.9048357
181,2.7674577
182,-4.397831
183,-3.0577106
184,-3.4451742
185,-4.467391
186,-1.3571215
187,-4.266103
188,-4.3056755
189,-4.1110725
190,17.349491
191,-4.6765585
192,-5.0091143
193,0.85854626
194,2.3958704
195,-1.3649263
196,-5.2355747
197,1.7041388
198,-5.509445
199,9.226646
200,-4.0313034
201,-4.241849
202,1.799633
203,-4.027828
204,-2.2821627
205,-4.4834356
206,-2.3164244
207,3.1201632
208,-4.0231447
209,-5.1131573
210,0.8488455
211,11.555632
212,-0.7092476
213,4.243809
214,14.290793
215,-4.640836
216,-3.227087
217,-4.739257
218,-4.668723
219,-2.0045385
220,2.0138762
221,-4.8984222
222,-3.7707186
223,-4.367772
224,-4.097872
225,16.537327
226,-5.1848955
227,-3.8670158
228,1.3986902
229,-2.054287
230,0.59029293
231,-4.726242
232,-3.3165684
233,-5.22556
234,-3.906538
235,0.9137449
236,-2.090334
237,3.871861
238,20.435917
239,0.7596712
240,-4.7918797
241,1.3526325
242,-1.6275139
243,-2.7321672
244,-3.687127
245,-3.9077997
246,-4.892749
247,-4.450569
248,-3.9635553
249,-2.9441938
250,-0.35803795
251,0.7871494
